sku_id,model_key,model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,horizon_wmape_percent,mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,median_occurrence_probability,mean_probability_threshold,feature_count,fit_status,wmape_valid,selection_score
01550M0612A,croston_rf_gate_probsize,Croston Random Forest gated probability size,9,162,22.0,46.59688626095395,63.889088609007985,24.596886260953948,290.40494822276355,100.11299862354373,100.0,25,9,18,18,0.13292955371966686,0.8000000000000002,799,fit_random_forest,True,100.11299862354373
021620616A000,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,83.0,6.252198487520218,87.92588797211647,-76.74780151247978,105.93480478568249,102.46331539490949,100.0,46,17,18,0,0.08362312614917755,0.6888888888888889,799,fit_xgboost,True,102.46331539490949
083100012A000,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,27.0,2.1662223637104034,28.732567951083183,-24.833777636289597,106.41691833734512,100.33840466240028,100.0,28,12,18,0,0.1122707724571228,0.7333333333333333,799,fit_xgboost,True,100.33840466240028
083161010A000,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,20.0,7.135654151439667,27.135654151439667,-12.864345848560333,135.67827075719833,100.0,100.0,18,8,18,0,0.051781605929136276,0.6888888888888889,799,fit_xgboost,True,100.0
083313124A000,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,31.0,18.74115300178528,41.724305868148804,-12.258846998214722,134.59453505854452,112.31685293757397,100.0,46,19,18,18,0.1969006508588791,0.7333333333333333,799,fit_xgboost,True,112.31685293757397
0911605023000,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,157,34.0,14.493380308151245,44.42383575439453,-19.506619691848755,130.65834045410156,104.11006048873618,100.0,27,10,14,14,0.16775156557559967,0.7515923566878981,799,fit_xgboost,True,104.11006048873618
0911912006XC0,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,8.0,2.840283617377281,10.840283617377281,-5.159716382622719,135.50354521721601,100.0,100.0,23,8,18,0,0.07273249328136444,0.7333333333333333,799,fit_xgboost,True,100.0
0911912007000,croston_xgb_d2_gate_probsize,Croston XGBoost depth2 gated probability size,9,162,839.0,17.958593785762787,850.4184635281563,-821.0414062142372,101.36096108798048,100.18569981936068,100.0,105,47,18,2,0.09315931051969528,0.6888888888888889,799,fit_xgboost,True,100.18569981936068
09136M05078000,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,37.0,18.74115300178528,53.359933376312256,-18.25884699821472,144.21603615219527,100.76516927541556,100.0,37,13,18,18,0.140043206512928,0.7333333333333333,799,fit_xgboost,True,100.76516927541556
0914016023000,croston_xgb_d3_gate_probsize,Croston XGBoost depth3 gated probability size,9,162,47.0,18.74115300178528,59.68264317512512,-28.25884699821472,126.98434718111729,112.58430072826705,100.0,29,10,18,18,0.16537006199359894,0.7333333333333333,799,fit_xgboost,True,112.58430072826705
