month,wmape,rolling_3m_wmape
2024-10-01,99.8320503996023,
2024-11-01,99.11511357916628,
2024-12-01,100.0,99.64905465958952
2025-01-01,100.0,99.7050378597221
2025-02-01,100.0,100.0
2025-03-01,100.0,100.0
2025-04-01,100.0,100.0
2025-05-01,100.0,100.0
2025-06-01,100.0,100.0
2025-07-01,100.0,100.0
2025-08-01,100.0,100.0
2025-09-01,100.0,100.0
2025-10-01,100.0,100.0
2025-11-01,100.0,100.0
2025-12-01,100.0,100.0
2026-01-01,100.0,100.0
2026-02-01,100.0,100.0
2026-03-01,100.0,100.0
2026-04-01,100.0,100.0
